Timestamp,Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1785760994.113041,40,1,0,0,1,0,0,67.0
1785760994.144044,40,1,0,0,1,0,0,66.0
1785760994.159844,40,1,0,0,1,0,0,65.0
1785760994.175360,40,1,0,0,1,0,0,65.0
1785760994.190898,40,1,0,0,1,0,0,65.0
1785760994.206703,40,1,0,0,1,0,0,65.0
1785760994.221600,40,1,0,0,1,0,0,65.0
1785760994.236438,40,1,0,0,1,0,0,65.0
1785760994.251471,40,1,0,0,1,0,0,65.0
1785760994.266992,40,1,0,0,1,0,0,65.0
1785760994.281981,40,1,0,0,1,0,0,65.0
1785760994.296873,40,1,0,0,1,0,0,65.0
1785760994.312474,40,1,0,0,1,0,0,65.0
1785760994.327781,40,1,0,0,1,0,0,65.0
1785760994.343049,40,1,0,0,1,0,0,65.0
1785760994.357781,40,1,0,0,1,0,0,65.0
1785760994.372905,40,1,0,0,1,0,0,65.0
1785760994.388059,40,1,0,0,1,0,0,65.0
1785760994.403213,40,1,0,0,1,0,0,65.0
1785760994.418775,40,1,0,0,1,0,0,65.0
1785760994.433739,40,1,0,0,1,0,0,65.0
1785760994.449043,40,1,0,0,1,0,0,65.0
1785760994.464413,40,1,0,0,1,0,0,65.0
1785760994.480321,40,1,0,0,1,0,0,65.0
1785760994.494855,40,1,0,0,1,0,0,65.0
1785760994.509726,40,1,0,0,1,0,0,65.0
1785760994.524873,40,1,0,0,1,0,0,65.0
1785760994.539954,40,1,0,0,1,0,0,65.0
1785760994.554617,40,1,0,0,1,0,0,65.0
1785760994.569883,40,1,0,0,1,0,0,65.0
1785760994.584493,40,1,0,0,1,0,0,65.0
1785760994.599897,40,1,0,0,1,0,0,65.0
1785760994.614737,40,1,0,0,1,0,0,65.0
1785760994.629855,40,1,0,0,1,0,0,65.0
1785760994.644779,40,1,0,0,1,0,0,65.0
1785760994.660125,40,1,0,0,1,0,0,65.0
1785760994.674797,40,1,0,0,1,0,0,65.0
1785760994.690383,40,1,0,0,1,0,0,66.0
1785760994.705988,40,1,0,0,1,0,0,65.0
1785760994.720763,40,1,0,0,1,0,0,66.0
1785760994.735863,40,1,0,0,1,0,0,65.0
1785760994.751092,40,1,0,0,1,0,0,65.0
1785760994.765773,40,1,0,0,1,0,0,66.0
1785760994.780807,40,1,0,0,1,0,0,66.0
1785760994.795892,40,1,0,0,1,0,0,66.0
1785760994.811613,40,1,0,0,1,0,0,65.0
1785760994.826816,40,1,0,0,1,0,0,65.0
1785760994.841908,40,1,0,0,1,0,0,65.0
1785760994.857885,40,1,0,0,1,0,0,65.0
